,Interested_in,City,Disposition,Referer,Campaign,Disp
598,",Credit Card,Loans,Current Account,Trading Account",Bangalore,Not Contactable-Number temporary Not in Service ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
599,",Loans",Guntur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
600,",Credit Card,Trading Account",Pune,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
601,",Current Account",Hyderabad,Not Contactable-Ringing No Response,Yes First,nativeads_yahoo_yesfirst,NC
602,",Credit Card,Current Account",Aurangabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,Customer Disconnected
603,",Credit Card,Current Account",Surat,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
604,",Credit Card,Trading Account",Allahabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,Customer Disconnected
605,Saving Account,Gurgaon,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
606,",Credit Card,Trading Account",Surat,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_Exact-google,NC
607,,East Delhi,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
608,",Trading Account",Faridabad,OCM disposition - Not contactable,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
609,",Trading Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_ventes_6percent_SA_54_-affiliate,NC
610,",Credit Card",Pune,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
611,",Loans",Pune,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
612,",Loans",Surat,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
613,,Surat,OCM disposition - Not contactable,Savings Account customizable - Wishfin,Deal4loans,NC
614,,Coimbatore,Not Contactable-Language Barrier,Yes First,YES_First_Savings,NC
615,",Current Account",Cuttack,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_Green_FD_Investment-facebook,Customer Disconnected
616,,Theni,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
617,,Amritsar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
618,",Current Account,Trading Account",Mumbai,CDR Disposition - Not Contactable,Savings Account customizable,mailer_ventes_6percent_SA_54_-affiliate,NC
619,",Credit Card",Ludhiana,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
620,"Business Loan, Business Credit Cards,",Gurgaon,Not Contactable-Busy,Current Account,YES_Bank_Current_Account_Brand_Exact_Mobile,NC
621,,Hosur,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
622,,Hyderabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
623,",Loans",Salem,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
624,",Current Account,Trading Account",Chennai,Not Contactable-Busy,Yes First,banners_bookmyshow_yesfirst,NC
625,",Trading Account",Faridabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
626,",Credit Card,Loans",Vizianagaram,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
627,",Credit Card,Loans,Current Account,Trading Account",Faridabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
628,",Current Account",Howrah,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
629,",Credit Card,Loans",Karnal,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
630,",Credit Card",Hyderabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
631,",Current Account",Pune,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
632,",Loans",Hyderabad,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
633,,Mewat,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
634,,Banswara,Not Contactable-Ringing No Response,Yes First,Search_India_YES_First_Advantage_BMM,NC
635,",Loans",Amravati,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
636,",Credit Card,Current Account",Nellore,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
637,",Credit Card,Loans,Trading Account",Bangalore,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
638,",Credit Card",Hyderabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
639,",Trading Account",Bangalore,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
640,,Hyderabad,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
641,Saving Account,Bhubhaneshwar,Not Contactable-Not reachable / Switched Off ,Yes First,banners_ET_yesfirst,NC
642,",Credit Card,Current Account",Gwalior,Not Contactable-Busy,Yes First,Search_India_YES_First_Advantage_Exclusive_BMM,NC
643,",Current Account",Chennai,Customer Disconnected,Yes First,banners_bookmyshow_yesfirst,Customer Disconnected
644,",Current Account",Ujjain,Not Contactable-Not reachable / Switched Off ,Yes First,Search_India_YES_First_Advantage_BMM,NC
645,,Bangalore,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
646,",Trading Account",Vadodara,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
647,",Loans",Jabalpur,Not Contactable-Number temporary Not in Service ,Yes First,YES_First_Savings,NC
648,",Current Account",Dhanbad,Not Contactable-Busy,Savings Account customizable,Display_snapdeal-affiliate,NC
649,",Current Account",Mumbai,Customer Disconnected,Yes First,nativeads_yahoo_yesfirst,Customer Disconnected
650,",Trading Account",Aurangabad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
651,",Credit Card,Loans",Tejpur,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
652,",Credit Card,Current Account",Bangalore,Customer Disconnected,Savings Account customizable,Display_snapdeal-affiliate,Customer Disconnected
653,,Surat,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
654,",Current Account",Uddham Singh Nagar,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
655,",Loans,Trading Account",East Delhi,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,Customer Disconnected
656,Saving Account,Puri,Not Contactable-Number temporary Not in Service ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
657,,Jodhpur,Customer Disconnected,Savings Account customizable,"Display_snapdeal-affiliate,AndroidNew",Customer Disconnected
658,",Credit Card",Bhopal,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
659,",Credit Card,Current Account,Trading Account",Chennai,Not Contactable-Busy,Savings Account customizable,"Display_snapdeal-affiliate,AndroidNew",NC
660,",Credit Card",Ghaziabad,Not Contactable-Busy,Savings Account customizable,Display_snapdeal-affiliate,NC
661,,Faridabad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable - Wishfin,Deal4loans,NC
662,",Current Account",Patan,Customer Disconnected,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,Customer Disconnected
663,",Credit Card,Loans,Trading Account",Ghaziabad,Not Contactable-Ringing No Response,Yes First,banners_bookmyshow_yesfirst,NC
664,,Ponnavolu,Not Contactable-Language Barrier,Savings Account customizable - Wishfin,Deal4loans,NC
665,,Ludhiana,Not Contactable-Not reachable / Switched Off ,Savings Account customizable - Wishfin,Deal4loans,NC
666,",Current Account",Bhopal,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
667,,Panvel,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_Lookalike,NC
668,",Loans",Agartala,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
669,",Credit Card,Trading Account",Kalyani,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
670,Saving Account,Kolkata,Not Contactable-Ringing No Response,Yes First,banners_CNN_yesfirst,NC
671,",Loans",Panchkula,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
672,",Current Account,Trading Account",Hyderabad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_ventes_6percent_SA_54_-affiliate,NC
673,Saving Account,Bangalore,Not Contactable-Busy,Savings Account customizable,mailer_ventes_6percent_SA_54_-affiliate,NC
674,,Mumbai,Not Contactable-Busy,Savings Account customizable - Wishfin,Deal4loans,NC
675,",Current Account,Trading Account",New Delhi,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_ventes_6percent_SA_54_-affiliate,NC
676,",Current Account",Pune,CDR Disposition - Not Contactable,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
677,,Ludhiana,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
678,",Credit Card",Pune,Not Contactable-Number temporary Not in Service ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
679,",Loans",Asansol,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
680,",Current Account",Karnal,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
681,,Haridwar,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,Customer Disconnected
682,",Credit Card,Loans,Current Account",Bangalore,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
683,,Other,Customer Disconnected,Savings Account customizable - Wishfin,Deal4loans,Customer Disconnected
684,",Current Account",Pune,OCM disposition - Not contactable,Savings Account customizable,mailer_ventes_6percent_SA_54_-affiliate,NC
685,",Credit Card,Trading Account",Tiruchirappalli,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
686,Saving Account,Chandigarh,Not Contactable-Number temporary Not in Service ,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
687,",Credit Card",Howrah,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
688,",Trading Account",Panchmahal,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
689,",Credit Card",Gurgaon,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
690,",Credit Card",Ahmedabad,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
691,,Hyderabad,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
692,",Credit Card,Current Account",Varanasi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
693,",Credit Card,Current Account",Belgaum,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
694,",Credit Card",Mysore,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,Customer Disconnected
695,",Credit Card,Current Account",Noida,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,NC
696,",Credit Card,Loans",Faridabad,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
697,",Trading Account",Veraval,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
698,",Credit Card,Trading Account",Ahmedabad,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
699,",Credit Card,Loans",Noida,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,NC
700,",Credit Card",Baghpat,Not Contactable-Busy,Yes First,YES_First_Savings,NC
701,,East Delhi,Not Contactable-Ringing No Response,Yes First,Search_India_YES_First_Advantage_Exclusive_BMM,NC
702,,Chittoor,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
703,",Credit Card",Pune,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,Customer Disconnected
704,",Credit Card",Ahmedabad,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1225,NC
705,",Current Account",Hyderabad,Not Contactable-Language Barrier,Yes First,nativeads_columbia_yesfirst,NC
706,",Current Account",Lucknow,Customer Disconnected,Savings Account customizable,mailer_netcore_6percent_SA_1004-affiliate,Customer Disconnected
707,",Credit Card",Chennai,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
708,",Loans",Hyderabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
709,",Credit Card",Ahmadnagar,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,Customer Disconnected
710,",Current Account",New Delhi,Not Contactable-Busy,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
711,",Current Account",Salem,OCM disposition - Not contactable,Yes First,YES_First_Savings,NC
712,",Trading Account",Noida,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,NC
713,",Credit Card,Current Account,Trading Account",Faridabad,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,NC
714,",Credit Card,Loans,Current Account,Trading Account",Agartala,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
715,",Credit Card,Current Account",Chennai,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
716,",Current Account",Bangalore,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
717,",Credit Card,Loans,Current Account,Trading Account",Kolkata,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
718,",Credit Card",Ghaziabad,Not Contactable-Not reachable / Switched Off ,Yes First,nativeads_yahoo_yesfirst,NC
719,,Pune,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
720,",Credit Card,Current Account",Noida,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
721,",Current Account",Hyderabad,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
722,"Savings Account ,",New Delhi,Not Contactable-Ringing No Response,Current Account,YES_Bank_Current_Account_Brand_BMM_Desktop,NC
723,,Ahmedabad,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
724,",Credit Card",Pune,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
725,",Credit Card,Loans,Current Account,Trading Account",Modinagar,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
726,",Credit Card,Loans,Trading Account",Pune,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
727,,Vizianagaram,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
728,",Loans",Bangalore,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
729,Saving Account,Pune,Not Contactable-Number temporary Not in Service ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
730,,Vijayawada,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
731,,Hosur,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
732,,Ghaziabad,Customer Disconnected,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,Customer Disconnected
733,",Loans,Current Account,Trading Account",Mohali,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
734,",Credit Card,Loans,Current Account,Trading Account",Patna,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
735,",Current Account",Chennai,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1269,NC
736,",Current Account,Trading Account",Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,mailer_ventes_6percent_SA_54_-affiliate,NC
737,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
738,,Pune,Not Contactable-Busy,Savings Account customizable - Wishfin,Deal4loans,NC
739,",Loans",Ratnagiri,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
740,",Loans",Gorakhpur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
741,",Current Account",Dewas,Not Contactable-Ringing No Response,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
742,",Credit Card,Current Account",Sonepat,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
743,",Trading Account",Chittoor,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
744,",Loans",Jhalawar,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
745,",Current Account",Bareilly,Not Contactable-Busy,Savings Account customizable,mailer_netcore_6percent_SA_1004-affiliate,NC
746,,New Delhi,Not Contactable-Not reachable / Switched Off ,Yes First,banners_ET_yesfirst,NC
747,,Chittoor,Not Contactable-Busy,Savings Account customizable - Wishfin,Deal4loans,NC
748,Saving Account,Chennai,Customer Disconnected,Yes First,banners_bookmyshow_yesfirst,Customer Disconnected
749,",Loans",Bangalore,Not Contactable-Not reachable / Switched Off ,Yes First,Search_India_YES_First_Advantage_BMM,NC
750,",Current Account",Mathura,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
751,",Current Account",Salem,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
752,,Jaipur,Not Contactable-Ringing No Response,Yes First,Search_India_YES_First_Advantage_BMM,NC
753,,Coimbatore,Not Contactable-Language Barrier,Yes First,Search_India_YES_First_Advantage_BMM,NC
754,",Loans",Hyderabad,Not Contactable-Not reachable / Switched Off ,Yes First,Search_India_YES_First_Wealth_Management_BMM,NC
755,",Loans",Moradabad,Customer Disconnected,Yes First,banners_bookmyshow_yesfirst,Customer Disconnected
756,",Credit Card",Bhatinda,Customer Disconnected,Savings Account customizable,mailer_netcore_6percent_SA_1004-affiliate,Customer Disconnected
757,",Credit Card",Pune,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
758,",Credit Card",Bangalore,Not Contactable-Busy,Yes First,YES_First_Savings,NC
759,,Jhansi,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
760,",Credit Card,Current Account",Tiruchirappalli,Customer Disconnected,Savings Account customizable,Display_snapdeal-affiliate,Customer Disconnected
761,",Loans",Beawar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
762,Saving Account,Bangalore,Not Contactable-Ringing No Response,Yes First,banners_bookmyshow_yesfirst,NC
763,",Loans",Bhopal,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
764,",Credit Card",Vizag,Not Contactable-Ringing No Response,Yes First,banners_bookmyshow_yesfirst,NC
765,",Loans",Nagaur,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
766,",Loans",Kanpur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
767,,Puducherry,Not Contactable-Language Barrier,Yes First,banners_ET_yesfirst,NC
768,,Kolkata,CDR disposition-Not Contactable,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
769,",Credit Card",Saharanpur,Not Contactable-Wrong Number / Number does not exist,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
770,",Credit Card,Loans,Current Account,Trading Account",Bangalore,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,Customer Disconnected
771,,Jaipur,Not Contactable-Ringing No Response,Yes First,nativeads_yahoo_yesfirst,NC
772,",Trading Account",Karur,CDR disposition-Not Contactable,Savings Account customizable,Display_snapdeal-affiliate,NC
773,",Current Account",Thane,Not Contactable-Ringing No Response,Yes First,nativeads_yahoo_yesfirst,NC
774,",Current Account",East Delhi,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
775,,Surat,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
776,",Credit Card",Kanpur,Customer Disconnected,Savings Account customizable,Display_snapdeal-affiliate,Customer Disconnected
777,,Pune,Not Contactable-Ringing No Response,Yes First,nativeads_yahoo_yesfirst,NC
778,",Credit Card,Current Account",Srinagar,Not Contactable-Busy,Yes First,nativeads_yahoo_yesfirst,NC
779,,Hathras,CDR disposition-Not Contactable,Savings Account customizable,mailer_Leadsurf-affiliate,NC
780,,Howrah,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
781,",Credit Card,Loans,Current Account,Trading Account",Kharagpur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
782,",Current Account",Chittaurgarh,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
783,",Trading Account",Vadodara,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
784,"Business Loan, Business Credit Cards, Savings Account ,",Ahmedabad,Customer Disconnected,Current Account,YES_Bank_Current_Account_Brand_Exact_Mobile,Customer Disconnected
785,",Credit Card",Bhatinda,Not Contactable-Busy,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
786,,Indore,Not Contactable-Busy,Yes First,nativeads_yahoo_yesfirst,NC
787,",Trading Account",Kalol,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
788,,Tiruchirappalli,Not Contactable-Language Barrier,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
789,Saving Account,Bhatinda,Customer Disconnected,Savings Account customizable,mailer_netcore_6percent_SA_1004-affiliate,Customer Disconnected
790,",Credit Card,Current Account",Tiruchirappalli,CDR disposition-Not Contactable,Savings Account customizable,mailer_ventes_6percent_SA_28_-affiliate,NC
791,",Loans",Valsad,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
792,Saving Account,Adityapur,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
793,",Credit Card",Palghar,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_valueleaf_70percent_SA-1139,NC
794,",Loans",Raipur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
795,Saving Account,Bhopal,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Payment_Wallet-facebook,NC
796,,Kanpur,Not Contactable-Busy,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
797,",Credit Card",Agra,Customer Disconnected,Yes First,nativeads_yahoo_yesfirst,Customer Disconnected
798,,New delhi,Not Contactable-Ringing No Response,Savings Account customizable - Wishfin,Deal4loans,NC
799,,Indore,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,Customer Disconnected
800,",Credit Card",New Delhi,Customer Disconnected,Yes First,Search_India_YES_First_Lateral_Exact,Customer Disconnected
801,",Credit Card,Loans,Current Account,Trading Account",Salem,Not Contactable-Language Barrier,Yes First,YES_First_Savings,NC
802,",Credit Card,Loans,Current Account,Trading Account",Amravati,Not Contactable-Busy,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
803,",Loans,Trading Account",Jhansi,Not Contactable-Busy,Yes First,nativeads_yahoo_yesfirst,NC
804,",Loans",Meerut,Customer Disconnected,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,Customer Disconnected
805,",Credit Card,Loans,Current Account,Trading Account",Varanasi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
806,",Credit Card",Mangalore,Not Contactable-Ringing No Response,Yes First,nativeads_yahoo_yesfirst,NC
807,,Palwal,Not Contactable-Busy,Savings Account customizable - Wishfin,Deal4loans,NC
808,",Credit Card,Loans,Trading Account",New Delhi,Not Contactable-Ringing No Response,Yes First,nativeads_yahoo_yesfirst,NC
809,",Credit Card,Loans,Current Account",Hyderabad,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
810,,Kanchipuram,Not Contactable-Language Barrier,Yes First,nativeads_yahoo_yesfirst,NC
811,",Loans",Mangalore,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Competition-facebook,NC
812,",Loans",Udaipur,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
813,",Current Account",Bhopal,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
814,",Credit Card,Loans",Pune,Not Contactable-Ringing No Response,Yes First,YES_First_Savings,NC
815,,Mandi,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Brand_Fixed_Deposit_Exact-google,NC
816,",Current Account",Uddham Singh Nagar,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Yes_Bank_WC_FD_Investment_Finance-facebook,NC
817,"Business Loan,",Patna,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
818,",Trading Account",Jhalawar,Not Contactable-Ringing No Response,Savings Account-fixed deposit,Search_PAN_India_Core_Fixed_Deposit_Exact-google,NC
819,,Palwal,Customer Disconnected,Savings Account customizable,mailer_Accugen-affiliate,Customer Disconnected
